UFI;UNI;LAT;LONG;DMS_LAT;DMS_LONG;DSG;ADM1;ADM2;NT;SORT_NAME;FULL_NAME
-908762;-1344546; -33.75;-574.833.333;-334500;-572900;PPL;17;;N;SANTACATALINA;Santa Catalina
-908765;-1344549;-329.166.667;-549.666.667;-325500;-545800;PPL;19;;V;SANTACLARA;Santa Clara
-908765;-1344552;-329.166.667;-549.666.667;-325500;-545800;PPL;19;;V;SANTACLARA OLIMAR;Olimar Santa Clara
-908765;-1344553;-329.166.667;-549.666.667;-325500;-545800;PPL;19;;V;SANTACLARADELOLIMAR;Santa Clara del Olimar
-908765;-1344554;-329.166.667;-549.666.667;-325500;-545800;PPL;19;;N;SANTACLARADEOLIMAR;Santa Clara de Olimar
-906616;-1344557;-343.666.667;-570.666.667;-342200;-570400;PPL;16;;V;SANTAECILDA;Santa Ecilda
-908770;-1344558; -31.55; -55.55;-313300;-553300;PPL;13;;V;SANTAERNESTINA;Santa Ernestina
-908770;-1344565; -31.55; -55.55;-313300;-553300;PPL;13;;N;SANTAFERNANDINA;Santa Fernandina
-908066;-1344566;-328.166.667;-565.166.667;-324900;-563100;PPL;5;;V;SANTAISABEL;Santa Isabel
-908771;-1344567;-344.533.333;-563.905.556;-342712;-562326;PPL;2;;N;SANTALUCIA;Santa Lucía
-908264;-1344590;-337.333.333; -54.75;-334400;-544500;PPL;8;;V;SANTAMARIA;Santa María
-908264;-1344605;-337.333.333; -54.75;-334400;-544500;PPL;8;;V;SANTAMARIADELPIRARAJA;Santa María del Pirarajá
-905698;-1344614; -30.25;-575.833.333;-301500;-573500;PPL;1;;V;SANTAROSA;Santa Rosa
-908788;-1344615;-344.975;-560.372.222;-342951;-560214;PPL;2;;N;SANTAROSA;Santa Rosa
-905698;-1344624; -30.25;-575.833.333;-301500;-573500;PPL;1;;V;SANTAROSADELCUAREIM;Santa Rosa del Cuareim
-908793;-1344626;-344.333.333;-577.166.667;-342600;-574300;PPL;4;;N;SANTATERESA;Santa Teresa
-908801;-1344634;-347.902.778; -56.35;-344725;-562100;PPL;10;;V;SANTIAGO;Santiago
-908801;-1344640;-347.902.778; -56.35;-344725;-562100;PPL;10;;N;SANTIAGOVAZQUEZ;Santiago Vázquez
-909288;-1344649; -33.4;-583.166.667;-332400;-581900;PPL;17;;V;SANTODOMINGODESORIANO;Santo Domingo de Soriano
-906041;-1344658;-341.666.667;-538.333.333;-341000;-535000;PPL;14;;V;SANVICENTEDECASTILLOS;San Vicente de Castillos
-908810;-1344666; -31.0; -56.25;-310000;-561500;PPL;15;;N;SARANDI;Sarandí
-908811;-1344667;-324.833.333;-537.166.667;-322900;-534300;PPL;3;;N;SARANDI;Sarandí
-908812;-1344670; -33.95; -57.9;-335700;-575400;PPL;4;;N;SARANDI;Sarandí
